,episode,id,depart_sec,arrival_sec,duration_sec,wait_step,wait_sec
105,1,f_0_1.12,164.00,464.00,300.00,11,158.00
106,1,f_0_5.21,172.00,464.00,292.00,8,96.00
107,1,f_0_2.9,123.00,466.00,343.00,8,152.00
108,1,f_0_4.32,262.00,468.00,206.00,9,87.00
109,1,f_0_4.33,271.00,470.00,199.00,8,81.00
110,1,f_0_1.13,178.00,471.00,293.00,12,135.00
111,1,f_0_1.14,191.00,474.00,283.00,12,114.00
112,1,f_0_5.22,181.00,479.00,298.00,8,98.00
113,1,f_0_5.23,189.00,481.00,292.00,9,101.00
114,1,f_0_5.27,221.00,484.00,263.00,7,91.00
115,1,f_0_5.24,197.00,487.00,290.00,6,111.00
116,1,f_0_4.34,279.00,488.00,209.00,10,85.00
117,1,f_0_5.25,205.00,489.00,284.00,7,97.00
118,1,f_0_2.10,137.00,491.00,354.00,9,181.00
119,1,f_0_2.11,150.00,493.00,343.00,9,165.00
120,1,f_0_4.35,287.00,498.00,211.00,11,83.00
121,1,f_0_4.36,295.00,500.00,205.00,9,82.00
122,1,f_0_0.13,178.00,501.00,323.00,6,178.00
123,1,f_0_1.15,205.00,501.00,296.00,13,127.00
124,1,f_0_1.16,219.00,503.00,284.00,10,104.00
125,1,f_1_4.0,300.00,508.00,208.00,9,83.00
126,1,f_0_2.12,164.00,511.00,347.00,12,177.00
127,1,f_1_4.1,305.00,518.00,213.00,12,86.00
128,1,f_1_4.2,310.00,519.00,209.00,11,75.00
129,1,f_1_4.3,315.00,521.00,206.00,9,64.00
130,1,f_1_4.4,319.00,522.00,203.00,8,54.00
131,1,f_1_4.5,324.00,524.00,200.00,8,65.00
132,1,f_1_4.6,329.00,527.00,198.00,7,59.00
133,1,f_1_4.7,333.00,528.00,195.00,6,77.00
134,1,f_0_1.17,232.00,530.00,298.00,10,151.00
135,1,f_0_0.14,191.00,537.00,346.00,7,194.00
136,1,f_0_0.15,205.00,539.00,334.00,7,179.00
137,1,f_1_4.8,338.00,539.00,201.00,9,86.00
138,1,f_1_4.9,343.00,541.00,198.00,9,90.00
139,1,f_0_0.16,219.00,556.00,337.00,8,174.00
140,1,f_1_4.10,347.00,558.00,211.00,10,96.00
141,1,f_0_2.13,178.00,559.00,381.00,8,184.00
142,1,f_0_0.17,232.00,560.00,328.00,10,143.00
143,1,f_1_4.11,352.00,560.00,208.00,9,85.00
144,1,f_1_0.4,332.00,563.00,231.00,7,67.00
145,1,f_0_3.18,148.00,564.00,416.00,10,244.00
146,1,f_0_5.26,213.00,564.00,351.00,8,177.00
147,1,f_1_0.5,340.00,565.00,225.00,8,62.00
148,1,f_1_4.12,357.00,568.00,211.00,11,90.00
149,1,f_1_0.6,347.00,574.00,227.00,7,44.00
150,1,f_0_1.18,246.00,575.00,329.00,11,171.00
151,1,f_0_0.18,246.00,578.00,332.00,10,157.00
152,1,f_1_1.0,300.00,579.00,279.00,8,100.00
153,1,f_1_0.3,324.00,580.00,256.00,8,59.00
154,1,f_0_1.22,300.00,581.00,281.00,7,91.00
155,1,f_0_3.29,238.00,585.00,347.00,10,139.00
156,1,f_0_3.19,156.00,587.00,431.00,12,223.00
157,1,f_0_3.20,164.00,589.00,425.00,11,220.00
158,1,f_0_3.21,172.00,594.00,422.00,13,204.00
159,1,f_1_5.10,347.00,594.00,247.00,7,85.00
160,1,f_1_4.13,361.00,603.00,242.00,13,115.00
161,1,f_1_5.11,352.00,605.00,253.00,9,72.00
162,1,f_1_4.14,366.00,605.00,239.00,12,107.00
163,1,f_1_5.12,357.00,607.00,250.00,8,79.00
164,1,f_1_4.15,371.00,607.00,236.00,11,115.00
165,1,f_1_4.16,375.00,609.00,234.00,9,122.00
166,1,f_0_5.30,246.00,610.00,364.00,12,170.00
167,1,f_1_4.17,380.00,611.00,231.00,9,118.00
168,1,f_1_4.18,385.00,612.00,227.00,11,109.00
169,1,f_1_5.6,329.00,613.00,284.00,9,86.00
170,1,f_1_4.19,389.00,614.00,225.00,12,108.00
171,1,f_1_0.7,355.00,615.00,260.00,9,125.00
172,1,f_1_5.7,333.00,616.00,283.00,8,82.00
173,1,f_0_0.19,260.00,619.00,359.00,10,175.00
174,1,f_1_4.20,394.00,623.00,229.00,11,115.00
175,1,f_0_1.21,287.00,637.00,350.00,12,175.00
176,1,f_1_0.8,363.00,637.00,274.00,10,132.00
177,1,f_1_5.14,366.00,638.00,272.00,9,109.00
178,1,f_0_0.20,273.00,647.00,374.00,10,178.00
179,1,f_1_4.29,468.00,648.00,180.00,10,52.00
180,1,f_1_4.21,399.00,655.00,256.00,11,132.00
181,1,f_1_4.22,403.00,656.00,253.00,9,120.00
182,1,f_0_0.21,287.00,661.00,374.00,11,172.00
183,1,f_0_2.16,219.00,662.00,443.00,11,267.00
184,1,f_1_0.9,371.00,664.00,293.00,12,124.00
185,1,f_1_4.24,413.00,669.00,256.00,10,84.00
186,1,f_1_4.23,408.00,674.00,266.00,11,127.00
187,1,f_1_4.26,439.00,675.00,236.00,12,93.00
188,1,f_0_0.22,300.00,677.00,377.00,11,154.00
189,1,f_1_0.15,418.00,679.00,261.00,12,74.00
190,1,f_1_0.0,300.00,685.00,385.00,11,175.00
191,1,f_1_0.10,379.00,688.00,309.00,14,137.00
192,1,f_1_4.25,436.00,688.00,252.00,11,83.00
193,1,f_0_3.30,246.00,689.00,443.00,20,205.00
194,1,f_0_3.22,181.00,692.00,511.00,23,256.00
195,1,f_0_2.14,191.00,700.00,509.00,17,298.00
196,1,f_0_3.31,254.00,700.00,446.00,23,181.00
197,1,f_0_5.28,230.00,703.00,473.00,19,202.00
198,1,f_0_2.15,205.00,704.00,499.00,14,292.00
199,1,f_0_2.17,232.00,707.00,475.00,12,279.00
200,1,f_1_5.15,371.00,710.00,339.00,8,163.00
201,1,f_0_1.19,260.00,711.00,451.00,16,248.00
202,1,f_1_4.28,450.00,714.00,264.00,10,112.00
203,1,f_0_3.32,262.00,728.00,466.00,23,204.00
204,1,f_1_5.16,375.00,729.00,354.00,11,169.00
