,agent,step,test_id,avg_reward,std_reward
0,ia2c,720,-1,-1424.3958333333335,1165.697046327206
1,ia2c,1440,-1,-713.3866666666667,491.37629169959393
2,ia2c,2160,-1,-1349.5744444444445,1038.4884019104254
3,ia2c,2880,-1,-852.8675000000002,636.5702140284247
4,ia2c,3600,-1,-1120.5527777777777,900.9510130307713
5,ia2c,4320,-1,-561.355,275.8368865380408
6,ia2c,5040,-1,-722.7244444444444,413.4165368705329
7,ia2c,5760,-1,-875.5366666666665,552.5284853290372
8,ia2c,6480,-1,-814.0830555555556,487.8195692644262
9,ia2c,7200,-1,-677.3791666666667,385.9078527883956
10,ia2c,7920,-1,-1310.015555555556,1220.2638574788389
11,ia2c,8640,-1,-999.9511111111112,830.7492716075911
12,ia2c,9360,-1,-1224.4222222222222,1322.0067853480075
13,ia2c,10080,-1,-705.3833333333333,394.7631439652559
14,ia2c,10800,-1,-900.6558333333335,678.3189952165042
15,ia2c,11520,-1,-1007.9419444444444,723.6499112267212
16,ia2c,12240,-1,-715.6441666666666,551.4436964251956
17,ia2c,12960,-1,-1062.5952777777777,1027.0921270644133
18,ia2c,13680,-1,-1096.6250000000002,858.8913042324455
19,ia2c,14400,-1,-844.3705555555556,605.2234751815255
20,ia2c,15120,-1,-810.5447222222222,590.2405604684798
21,ia2c,15840,-1,-917.8297222222225,641.0109729126073
22,ia2c,16560,-1,-996.1416666666667,740.1031757183139
23,ia2c,17280,-1,-746.2019444444445,451.67812365124354
24,ia2c,18000,-1,-1081.4852777777778,1015.6628563569981
25,ia2c,18720,-1,-769.605,466.8687741842812
26,ia2c,19440,-1,-843.4372222222223,532.4911948703999
27,ia2c,20160,-1,-879.8050000000002,713.6957755837645
28,ia2c,20880,-1,-1190.7433333333333,1169.9559259077525
29,ia2c,21600,-1,-1102.4972222222223,1009.7206991666644
30,ia2c,22320,-1,-763.6597222222222,517.584540856135
31,ia2c,23040,-1,-1069.3627777777776,809.9436995886783
32,ia2c,23760,-1,-949.021111111111,716.4664758373315
33,ia2c,24480,-1,-824.5338888888889,563.8358779786789
34,ia2c,25200,-1,-846.6580555555556,666.6064797136457
35,ia2c,25920,-1,-1028.6966666666667,844.2597609674933
36,ia2c,26640,-1,-861.655,764.6806584577934
37,ia2c,27360,-1,-1001.1916666666667,949.5468973483559
38,ia2c,28080,-1,-703.5369444444444,424.6226564997278
39,ia2c,28800,-1,-1379.4730555555557,1260.5474734092488
40,ia2c,29520,-1,-843.2016666666666,673.3343490895804
41,ia2c,30240,-1,-741.2969444444445,448.02372617182436
42,ia2c,30960,-1,-665.7438888888888,392.97662620114204
43,ia2c,31680,-1,-857.5530555555555,672.7812483899265
44,ia2c,32400,-1,-1072.271111111111,934.4287535702042
45,ia2c,33120,-1,-714.1605555555556,423.6529848298569
46,ia2c,33840,-1,-1138.7725,973.241210577302
47,ia2c,34560,-1,-967.0850000000002,760.9964217301624
48,ia2c,35280,-1,-802.3955555555556,661.0281821881073
49,ia2c,36000,-1,-951.7141666666666,658.7034129589356
50,ia2c,36720,-1,-1345.3858333333335,1167.9028870726534
51,ia2c,37440,-1,-1050.7991666666667,907.2551595330311
52,ia2c,38160,-1,-821.825,647.9781256060184
53,ia2c,38880,-1,-1027.8630555555558,902.5318268759263
54,ia2c,39600,-1,-1183.2633333333333,1075.3494498637278
55,ia2c,40320,-1,-1157.230277777778,882.8067111491183
56,ia2c,41040,-1,-847.1669444444445,670.129621596198
57,ia2c,41760,-1,-1161.4158333333335,948.6384190127887
58,ia2c,42480,-1,-779.8697222222223,573.2306533779793
59,ia2c,43200,-1,-847.6347222222222,654.2241334970172
60,ia2c,43920,-1,-934.4441666666668,696.3416019888634
61,ia2c,44640,-1,-1248.4533333333334,1118.8983279398833
62,ia2c,45360,-1,-881.7102777777778,582.1957727287756
63,ia2c,46080,-1,-916.3011111111111,718.2702578640569
64,ia2c,46800,-1,-981.2027777777778,818.0838478440918
65,ia2c,47520,-1,-1179.545,1123.0316897069786
66,ia2c,48240,-1,-1192.7027777777778,1027.408563486609
67,ia2c,48960,-1,-690.6474999999999,423.8706835284331
68,ia2c,49680,-1,-742.7794444444445,485.14962894591406
69,ia2c,50400,-1,-664.0002777777778,390.47967488708406
70,ia2c,51120,-1,-667.4727777777778,500.1594326179687
71,ia2c,51840,-1,-1109.8597222222222,970.72761652732
72,ia2c,52560,-1,-931.7155555555555,793.2076085127205
73,ia2c,53280,-1,-840.5508333333335,631.2709727863613
74,ia2c,54000,-1,-1118.7305555555556,1011.6263741892295
75,ia2c,54720,-1,-884.8905555555555,662.4086017622208
76,ia2c,55440,-1,-742.486388888889,529.5764865891149
77,ia2c,56160,-1,-1131.0258333333334,882.8009068674387
78,ia2c,56880,-1,-1205.0516666666665,1187.3504320767217
79,ia2c,57600,-1,-574.603611111111,260.39760098370914
80,ia2c,58320,-1,-717.6655555555556,515.9577667172018
81,ia2c,59040,-1,-997.3986111111112,984.7070764943609
82,ia2c,59760,-1,-734.8786111111112,504.99349906515727
