,agent,step,test_id,avg_reward,std_reward
0,ma2c,720,-1,-945.2772222222223,799.3355337285919
1,ma2c,1440,-1,-927.0802777777778,571.6762671204847
2,ma2c,2160,-1,-846.4316666666667,594.2681800121895
3,ma2c,2880,-1,-982.8766666666668,761.7198030407536
4,ma2c,3600,-1,-847.1138888888889,590.0715957749807
5,ma2c,4320,-1,-750.3830555555556,477.3160770758806
6,ma2c,5040,-1,-1148.831388888889,961.4704024237876
7,ma2c,5760,-1,-1267.3333333333333,1120.2336779539448
8,ma2c,6480,-1,-891.0825,670.501838446709
9,ma2c,7200,-1,-923.0277777777776,722.3343751765718
10,ma2c,7920,-1,-799.0697222222221,541.278354427872
11,ma2c,8640,-1,-850.4883333333335,620.4286530541248
12,ma2c,9360,-1,-1214.6066666666666,995.8474751352907
13,ma2c,10080,-1,-1005.5483333333334,800.5884655104228
14,ma2c,10800,-1,-1040.6594444444445,823.368945329507
15,ma2c,11520,-1,-1065.6755555555555,907.1401869870575
16,ma2c,12240,-1,-1022.2025000000001,873.836658169258
17,ma2c,12960,-1,-1155.1675,1010.2625715346235
18,ma2c,13680,-1,-903.3191666666668,650.369553296325
19,ma2c,14400,-1,-921.9744444444445,797.5337586113151
20,ma2c,15120,-1,-929.9566666666667,850.4471032018654
21,ma2c,15840,-1,-846.0202777777778,553.4839193487925
22,ma2c,16560,-1,-912.7877777777778,659.2665265830198
23,ma2c,17280,-1,-1130.9016666666669,1029.3115802415928
24,ma2c,18000,-1,-1155.3075000000001,965.1172735012138
25,ma2c,18720,-1,-890.0911111111112,726.2191613103588
26,ma2c,19440,-1,-873.0713888888888,746.7202350302465
27,ma2c,20160,-1,-1043.558611111111,830.418431881893
28,ma2c,20880,-1,-841.3027777777779,652.1774732838835
29,ma2c,21600,-1,-939.0805555555555,735.8642868232658
30,ma2c,22320,-1,-951.8108333333334,708.2643915817306
31,ma2c,23040,-1,-1158.985,948.1265659168201
32,ma2c,23760,-1,-658.9497222222222,353.1430834896664
33,ma2c,24480,-1,-924.896388888889,603.212234244727
34,ma2c,25200,-1,-1002.8330555555556,802.2084553604349
35,ma2c,25920,-1,-808.3991666666667,505.73086633699967
36,ma2c,26640,-1,-931.8041666666667,717.5377936886167
37,ma2c,27360,-1,-659.7730555555556,423.60708825330266
38,ma2c,28080,-1,-627.8572222222222,369.1948120994834
39,ma2c,28800,-1,-765.3161111111111,571.1942930449312
40,ma2c,29520,-1,-1059.2891666666667,946.5891238161801
41,ma2c,30240,-1,-1142.195,914.1363380429397
42,ma2c,30960,-1,-1009.2588888888889,824.6195998283013
43,ma2c,31680,-1,-825.4822222222222,607.3096911018075
44,ma2c,32400,-1,-1305.2800000000002,1227.0636469682863
45,ma2c,33120,-1,-874.7702777777778,595.0865610750634
46,ma2c,33840,-1,-1092.3536111111111,893.5179245315576
47,ma2c,34560,-1,-1229.2027777777778,1115.069292113502
48,ma2c,35280,-1,-594.9486111111111,323.20951696876455
49,ma2c,36000,-1,-697.2888888888889,501.7150071824629
50,ma2c,36720,-1,-845.7469444444445,567.5294525069918
51,ma2c,37440,-1,-572.6961111111112,276.4489830097025
52,ma2c,38160,-1,-676.26,444.453863822407
53,ma2c,38880,-1,-719.03,478.96008125242895
54,ma2c,39600,-1,-1049.2166666666667,972.8423344623847
55,ma2c,40320,-1,-1016.5377777777778,873.2675021725115
56,ma2c,41040,-1,-968.0125,749.8921817385742
57,ma2c,41760,-1,-705.5086111111111,464.6104005069001
58,ma2c,42480,-1,-883.3247222222222,762.4556720447795
59,ma2c,43200,-1,-926.5638888888891,776.1027885291061
60,ma2c,43920,-1,-981.1422222222222,657.7197734053577
61,ma2c,44640,-1,-1360.7616666666665,1378.9103449130887
62,ma2c,45360,-1,-924.7897222222224,789.8245565770574
63,ma2c,46080,-1,-893.9022222222223,881.105921489551
64,ma2c,46800,-1,-952.0366666666667,692.8837491800323
65,ma2c,47520,-1,-1046.9450000000002,966.6072879909514
66,ma2c,48240,-1,-856.2041666666667,560.6843825326083
67,ma2c,48960,-1,-770.59,517.817598634457
68,ma2c,49680,-1,-1120.9922222222222,925.589856821377
69,ma2c,50400,-1,-760.0094444444445,487.123755003367
70,ma2c,51120,-1,-707.9572222222223,434.9439701502502
71,ma2c,51840,-1,-710.0086111111112,487.1823956672398
72,ma2c,52560,-1,-1391.292777777778,1194.3378241394107
73,ma2c,53280,-1,-886.6625000000001,709.5084510767335
74,ma2c,54000,-1,-697.65,425.036230677914
75,ma2c,54720,-1,-847.9908333333334,567.4722195592731
