,episode,id,depart_sec,arrival_sec,duration_sec,wait_step,wait_sec
105,1,f_0_3.14,115.00,594.00,479.00,18,258.00
106,1,f_0_4.33,361.00,598.00,237.00,6,154.00
107,1,f_0_5.12,206.00,604.00,398.00,11,233.00
108,1,f_0_0.10,147.00,605.00,458.00,9,292.00
109,1,f_0_3.15,123.00,607.00,484.00,18,226.00
110,1,f_0_4.34,364.00,623.00,259.00,8,161.00
111,1,f_0_4.35,436.00,624.00,188.00,7,94.00
112,1,f_0_1.17,232.00,626.00,394.00,10,245.00
113,1,f_1_4.5,551.00,626.00,75.00,2,8.00
114,1,f_0_0.11,162.00,635.00,473.00,9,317.00
115,1,f_0_0.12,172.00,640.00,468.00,9,300.00
116,1,f_0_3.16,131.00,650.00,519.00,20,254.00
117,1,f_1_2.17,433.00,652.00,219.00,6,53.00
118,1,f_0_5.14,236.00,653.00,417.00,12,245.00
119,1,f_0_3.24,197.00,653.00,456.00,17,209.00
120,1,f_0_3.17,140.00,655.00,515.00,17,237.00
121,1,f_0_3.30,246.00,660.00,414.00,11,207.00
122,1,f_0_4.36,439.00,668.00,229.00,8,128.00
123,1,f_0_1.18,262.00,672.00,410.00,8,241.00
124,1,f_0_3.18,148.00,673.00,525.00,19,252.00
125,1,f_0_3.19,156.00,675.00,519.00,20,242.00
126,1,f_0_3.26,213.00,677.00,464.00,19,182.00
127,1,f_1_4.0,461.00,678.00,217.00,7,120.00
128,1,f_0_3.31,254.00,684.00,430.00,12,240.00
129,1,f_0_5.5,41.00,685.00,644.00,11,441.00
130,1,f_0_5.15,237.00,687.00,450.00,13,258.00
131,1,f_0_5.20,261.00,690.00,429.00,7,239.00
132,1,f_0_0.13,272.00,695.00,423.00,11,268.00
133,1,f_0_5.24,272.00,699.00,427.00,11,227.00
134,1,f_0_3.32,262.00,705.00,443.00,15,230.00
135,1,f_0_3.20,164.00,708.00,544.00,20,268.00
136,1,f_1_4.1,465.00,708.00,243.00,9,145.00
137,1,f_1_2.19,449.00,708.00,259.00,6,89.00
138,1,f_1_4.2,476.00,710.00,234.00,8,129.00
139,1,f_1_4.3,479.00,712.00,233.00,8,124.00
140,1,f_0_5.16,239.00,719.00,480.00,12,281.00
141,1,f_0_3.25,205.00,719.00,514.00,20,275.00
142,1,f_0_5.18,241.00,721.00,480.00,14,281.00
143,1,f_0_3.21,172.00,723.00,551.00,22,265.00
144,1,f_0_5.6,50.00,724.00,674.00,19,460.00
145,1,f_0_5.7,58.00,726.00,668.00,19,451.00
146,1,f_0_3.27,221.00,728.00,507.00,20,247.00
147,1,f_0_3.33,271.00,731.00,460.00,15,236.00
148,1,f_0_1.19,272.00,732.00,460.00,9,316.00
149,1,f_1_2.21,464.00,736.00,272.00,7,109.00
150,1,f_0_3.34,279.00,745.00,466.00,14,227.00
151,1,f_1_2.22,472.00,746.00,274.00,6,107.00
152,1,f_1_2.15,418.00,748.00,330.00,11,128.00
153,1,f_0_0.15,287.00,751.00,464.00,9,301.00
154,1,f_0_3.22,181.00,753.00,572.00,20,300.00
155,1,f_1_2.1,308.00,753.00,445.00,10,278.00
156,1,f_0_3.35,287.00,759.00,472.00,15,242.00
157,1,f_0_0.16,372.00,763.00,391.00,8,217.00
158,1,f_1_2.23,480.00,771.00,291.00,7,148.00
159,1,f_1_4.4,506.00,784.00,278.00,7,175.00
160,1,f_0_3.36,295.00,785.00,490.00,17,241.00
161,1,f_0_3.28,230.00,786.00,556.00,23,283.00
162,1,f_1_2.2,316.00,786.00,470.00,13,293.00
163,1,f_1_2.3,324.00,791.00,467.00,11,255.00
164,1,f_1_2.9,371.00,797.00,426.00,14,189.00
165,1,f_1_2.16,425.00,799.00,374.00,15,156.00
166,1,f_1_3.9,369.00,801.00,432.00,14,233.00
167,1,f_1_2.18,441.00,802.00,361.00,13,154.00
168,1,f_1_3.5,324.00,803.00,479.00,16,255.00
169,1,f_1_2.4,332.00,807.00,475.00,17,210.00
170,1,f_1_2.10,379.00,810.00,431.00,14,223.00
171,1,f_1_2.20,457.00,812.00,355.00,14,148.00
172,1,f_1_3.6,329.00,816.00,487.00,17,252.00
173,1,f_1_2.5,340.00,816.00,476.00,16,223.00
174,1,f_0_3.23,189.00,818.00,629.00,20,353.00
175,1,f_1_2.6,347.00,822.00,475.00,18,208.00
176,1,f_1_2.7,355.00,827.00,472.00,20,197.00
177,1,f_0_5.21,262.00,828.00,566.00,13,400.00
178,1,f_0_5.23,264.00,831.00,567.00,14,363.00
179,1,f_0_5.25,278.00,838.00,560.00,18,345.00
180,1,f_1_1.2,407.00,842.00,435.00,12,280.00
